snapshot_date,rank,name,symbol,market_cap,price,circulating,volume_24h
2021-01-04,89,BTGBitcoin Gold,BTG,"$155,983,027.04",$8.9062,"17,513,924 BTG","$19,038,320.95"
2021-01-04,74,PAXPaxos Standard,PAX,"$244,563,269.97",$0.9984,"244,951,954 PAX *","$172,740,768.30"
2021-01-04,53,LRCLoopring,LRC,"$446,061,612.28",$0.3691,"1,208,595,083 LRC *","$485,416,755.21"
2021-01-04,54,OKBOKB,OKB,"$431,187,066.07",$7.1865,"60,000,000 OKB *","$298,814,293.57"
2021-01-04,55,RENBTCrenBTC,RENBTC,"$404,191,965.01","$32,053.78","12,610 RENBTC *","$41,422,177.86"
2021-01-04,56,ONTOntology,ONT,"$397,516,588.45",$0.4934,"805,646,909 ONT *","$169,770,624.23"
2021-01-04,57,DGBDigiByte,DGB,"$393,193,068.21",$0.02827,"13,908,656,541 DGB","$40,174,245.43"
2021-01-04,58,GRTThe Graph,GRT,"$383,089,183.58",$0.3075,"1,245,666,867 GRT *","$183,511,905.10"
2021-01-04,59,NEXONexo,NEXO,"$352,098,216.79",$0.6287,"560,000,011 NEXO *","$17,351,387.65"
2021-01-04,60,STXBlockstack,STX,"$349,491,181.55",$0.491,"711,834,032 STX","$5,349,514.29"
2021-01-04,61,BATBasic Attention Token,BAT,"$325,297,344.99",$0.2179,"1,493,080,869 BAT *","$204,575,656.48"
2021-01-04,76,EWTEnergy Web Token,EWT,"$221,805,702.75",$7.3782,"30,062,138 EWT *","$1,622,337.81"
2021-01-04,62,LUNATerra,LUNA,"$325,266,066.43",$0.6702,"485,295,181 LUNA *","$51,922,005.06"
2021-01-04,64,ICXICON,ICX,"$302,273,273.56",$0.521,"580,232,365 ICX *","$76,531,889.00"
2021-01-04,65,ZRX0x,ZRX,"$294,987,338.15",$0.3934,"749,772,094 ZRX *","$88,627,754.02"
2021-01-04,66,RENRen,REN,"$297,639,672.27",$0.3365,"884,532,525 REN *","$89,327,151.86"
2021-01-04,67,RSRReserve Rights,RSR,"$286,691,711.79",$0.03066,"9,349,999,000 RSR *","$231,849,738.41"
2021-01-04,68,NEARNEAR Protocol,NEAR,"$272,463,181.02",$1.3837,"196,911,019 NEAR *","$37,590,382.47"
